,Countries,Total Cases,Todays Cases,Total Deaths
1, China ,"66,493","+2,642","1,523"
2, Japan ,262,+3,1
3, Singapore ,67,,
4, Hong Kong ,56,,1
5, Thailand ,34,+1,
6, S. Korea ,28,,
7, Malaysia ,21,+2,
8, Taiwan ,18,,
9, Germany ,16,,
10, Vietnam ,16,,
11, USA ,15,,
12, Australia ,15,,
13, France ,11,,
14, Macao ,10,,
15, U.K. ,9,,
16, Canada ,8,,
17, U.A.E. ,8,,
18, Philippines ,3,,1
19, Italy ,3,,
20, India ,3,,
21, Spain ,2,,
22, Russia ,2,,
23, Belgium ,1,,
24, Egypt ,1,,
25, Sweden ,1,,
26, Nepal ,1,,
27, Sri Lanka ,1,,
28, Finland ,1,,
29, Cambodia ,1,,
